League,Category
ALBANIA,4
ALGERIA,4
ARGENTINA,4
ARMENIA,4
ASIAN,4
AUSTRALIA ,3
AUSTRALIA ,4
AUSTRIA,3
AZERBAIJAN,4
BAHRAIN,4
BANGLADESH,4
BELARUS,4
BELGIUM,4
BOLIVIA,3
BOSNIA,4
BRAZIL,3
BRAZIL,4
BULGARIA,4
CANADA,4
CHINA,3
CROATIA,4
CYPRUS,4
CZECH R,3
DENMARK,4
EGYPT,4
ESTONIA,4
FINLAND,3
FRANCE,3
GEORGIA,4
GIBRALTAR,4
GERMANY,4
GREECE,4
HUNGARY,4
ICELAND,4
ISRAEL,4
INDIA,4
IRAN,4
ISRAEL,4
ITALY,2
ITALY,4
JAPAN,3
KAZAKHSTAN,4
LATVIA,4
LITHUANIA,4
MEXICO,4
MOLDOVA,4
MONTENEGRO,4
MOROCCO,4
NETHERLANDS,4
NORTH MACEDONIA,4
NORWAY,4
POLAND,4
PORTUGAL,3
QATAR,4
ROMANIA,4
RUSSIA,3
RUSSIA,4
SAUDI ARABIA,4
SERBIA,4
SLOVAKIA,4
SLOVENIA,4
SOUTH KOREA,3
SOUTH AFRICA,4
SPAIN,3
SWEDEN,4
SWITZERLAND,4
TUNISIA,4
TURKEY,3
UKRAINE,3
UAE,4
USA,3
SOUTH AMERICA,4
CH LEAGUE,2
EUROPA LEAGUE,2
CONFERENCE,3
EURO/WC,2
OTHER INTERN,4
ANY OTHER YOUTH/WOMEN,4
